Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,A-xAG,KP,1/3,PPA,CrsPA,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Comp
221,Philipp Klement,de GER,MF,Paderborn 07,25,1992,31,30,2670,29.7,16,7,23,13,3,4,3,0,0.67,221,de GER,MF,25,1992,29.7,16,83,31,37.3,2.80,1.04,0.16,0.42,,3,4,221,de GER,MF,25,1992,29.7,,,,,,7,,,,,,221,de GER,MF,25,1992,29.7,,,,,,,187,,,,,,,,,221,de GER,MF,25,1992,29.7,,,,,,,,,,,221,de GER,MF,25,1992,29.7,,35,,,,,,,,,,31,,,,221,de GER,MF,25,1992,29.7,,,,,,,,,,,,,,,,,,,,,248,de GER,MF,25,1992,31,2670,86,87.3,29.7,30,88,28,1,22,0,1.81,72,44,+28,+0.94,+1.41,221,de GER,MF,25,1992,29.7,3,0,0,28,26,1,187,31,35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
222,Philipp Klewin,de GER,GK,Arminia,24,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,222,de GER,GK,24,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,222,de GER,GK,24,1993,3.0,,,,,,0,,,,,,222,de GER,GK,24,1993,3.0,,,,,,,0,,,,,,,,,222,de GER,GK,24,1993,3.0,,,,,,,,,,,222,de GER,GK,24,1993,3.0,,0,,,,,,,,,,0,,,,222,de GER,GK,24,1993,3.0,,,,,,,,,,,,,,,,,,,,,249,de GER,GK,24,1993,3,270,90,8.8,3.0,3,90,3,0,,25,0.33,2,4,-2,-0.67,-0.80,222,de GER,GK,24,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,17,de GER,GK,24,1993,3,3,270,3.0,4,1.33,13,10,76.9,0,1,2,0,0.0,1,1,0,0,17,de GER,GK,24,1993,3.0,4,1,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
223,Philipp Klingmann,de GER,"DF,MF",Sandhausen,30,1988,17,16,1345,14.9,2,1,3,2,0,0,3,0,0.20,223,de GER,"DF,MF",30,1988,14.9,2,13,3,23.1,0.87,0.20,0.15,0.67,,0,0,223,de GER,"DF,MF",30,1988,14.9,,,,,,1,,,,,,223,de GER,"DF,MF",30,1988,14.9,,,,,,,64,,,,,,,,,223,de GER,"DF,MF",30,1988,14.9,,,,,,,,,,,223,de GER,"DF,MF",30,1988,14.9,,19,,,,,,,,,,19,,,,223,de GER,"DF,MF",30,1988,14.9,,,,,,,,,,,,,,,,,,,,,250,de GER,"DF,MF",30,1988,17,1345,79,44.0,14.9,16,84,12,1,1,9,0.76,15,24,-9,-0.60,-0.71,223,de GER,"DF,MF",30,1988,14.9,3,0,0,11,16,8,64,19,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
224,Fabian Klos,de GER,FW,Arminia,30,1987,33,33,2755,30.6,17,7,24,14,3,3,4,0,0.69,224,de GER,FW,30,1987,30.6,17,92,34,37.0,3.01,1.11,0.15,0.41,,3,3,224,de GER,FW,30,1987,30.6,,,,,,7,,,,,,224,de GER,FW,30,1987,30.6,,,,,,,32,,,,,,,,,224,de GER,FW,30,1987,30.6,,,,,,,,,,,224,de GER,FW,30,1987,30.6,,27,,,,,,,,,,8,,,,224,de GER,FW,30,1987,30.6,,,,,,,,,,,,,,,,,,,,,251,de GER,FW,30,1987,33,2755,83,90.0,30.6,33,83,23,0,,0,1.39,49,45,+4,+0.13,+0.72,224,de GER,FW,30,1987,30.6,4,0,0,75,77,14,32,8,27,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
225,Marco Knaller,at AUT,GK,Ingolstadt 04,31,1987,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,225,at AUT,GK,31,1987,9.0,0,0,0,,0.00,0.00,,,,0,0,225,at AUT,GK,31,1987,9.0,,,,,,0,,,,,,225,at AUT,GK,31,1987,9.0,,,,,,,0,,,,,,,,,225,at AUT,GK,31,1987,9.0,,,,,,,,,,,225,at AUT,GK,31,1987,9.0,,0,,,,,,,,,,1,,,,225,at AUT,GK,31,1987,9.0,,,,,,,,,,,,,,,,,,,,,252,at AUT,GK,31,1987,9,810,90,26.5,9.0,9,90,9,0,,9,0.56,9,19,-10,-1.11,-1.03,225,at AUT,GK,31,1987,9.0,0,0,0,0,3,0,0,1,0,0,0,0,18,at AUT,GK,31,1987,9,9,810,9.0,19,2.11,45,30,66.7,1,2,6,0,0.0,4,4,0,0,18,at AUT,GK,31,1987,9.0,19,4,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
226,Tim Knipping,de GER,DF,Sandhausen,25,1992,7,6,524,5.8,1,0,1,1,0,0,1,0,0.17,226,de GER,DF,25,1992,5.8,1,2,1,50.0,0.34,0.17,0.50,1.00,,0,0,226,de GER,DF,25,1992,5.8,,,,,,0,,,,,,226,de GER,DF,25,1992,5.8,,,,,,,0,,,,,,,,,226,de GER,DF,25,1992,5.8,,,,,,,,,,,226,de GER,DF,25,1992,5.8,,4,,,,,,,,,,8,,,,226,de GER,DF,25,1992,5.8,,,,,,,,,,,,,,,,,,,,,253,de GER,DF,25,1992,7,524,75,17.1,5.8,6,87,5,1,1,4,0.71,6,10,-4,-0.69,-0.58,226,de GER,DF,25,1992,5.8,1,0,0,8,7,0,0,8,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
227,Marvin Knoll,de GER,MF,St. Pauli,27,1990,30,29,2581,28.7,4,7,11,2,2,2,3,0,0.31,227,de GER,MF,27,1990,28.7,4,45,16,35.6,1.57,0.56,0.04,0.13,,2,2,227,de GER,MF,27,1990,28.7,,,,,,7,,,,,,227,de GER,MF,27,1990,28.7,,,,,,,144,,,,,,,,,227,de GER,MF,27,1990,28.7,,,,,,,,,,,227,de GER,MF,27,1990,28.7,,47,,,,,,,,,,64,,,,227,de GER,MF,27,1990,28.7,,,,,,,,,,,,,,,,,,,,,254,de GER,MF,27,1990,30,2581,86,84.3,28.7,29,87,27,1,45,0,1.50,40,45,-5,-0.17,+0.20,227,de GER,MF,27,1990,28.7,3,0,0,27,52,1,144,64,47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
228,Brian Koglin,de GER,DF,St. Pauli,21,1997,2,2,150,1.7,0,0,0,0,0,0,1,1,0.00,228,de GER,DF,21,1997,1.7,0,4,0,0.0,2.40,0.00,0.00,,,0,0,228,de GER,DF,21,1997,1.7,,,,,,0,,,,,,228,de GER,DF,21,1997,1.7,,,,,,,0,,,,,,,,,228,de GER,DF,21,1997,1.7,,,,,,,,,,,228,de GER,DF,21,1997,1.7,,1,,,,,,,,,,1,,,,228,de GER,DF,21,1997,1.7,,,,,,,,,,,,,,,,,,,,,256,de GER,DF,21,1997,2,150,75,4.9,1.7,2,75,1,0,,3,0.50,1,1,0,0.00,+0.22,228,de GER,DF,21,1997,1.7,1,1,1,4,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
229,Mats Köhlert,de GER,MF,Hamburger SV,20,1998,3,1,91,1.0,0,0,0,0,0,0,0,0,0.00,229,de GER,MF,20,1998,1.0,0,2,1,50.0,1.98,0.99,0.00,0.00,,0,0,229,de GER,MF,20,1998,1.0,,,,,,0,,,,,,229,de GER,MF,20,1998,1.0,,,,,,,3,,,,,,,,,229,de GER,MF,20,1998,1.0,,,,,,,,,,,229,de GER,MF,20,1998,1.0,,2,,,,,,,,,,0,,,,229,de GER,MF,20,1998,1.0,,,,,,,,,,,,,,,,,,,,,257,de GER,MF,20,1998,3,91,30,3.0,1.0,1,72,0,2,10,3,1.33,3,1,+2,+1.98,+1.95,229,de GER,MF,20,1998,1.0,0,0,0,2,1,0,3,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
230,Stylianos Kokovas,gr GRE,DF,Bochum,17,2001,6,5,444,4.9,0,0,0,0,0,0,0,0,0.00,230,gr GRE,DF,17,2001,4.9,0,0,0,,0.00,0.00,,,,0,0,230,gr GRE,DF,17,2001,4.9,,,,,,0,,,,,,230,gr GRE,DF,17,2001,4.9,,,,,,,11,,,,,,,,,230,gr GRE,DF,17,2001,4.9,,,,,,,,,,,230,gr GRE,DF,17,2001,4.9,,7,,,,,,,,,,1,,,,230,gr GRE,DF,17,2001,4.9,,,,,,,,,,,,,,,,,,,,,258,gr GRE,DF,17,2001,6,444,74,14.5,4.9,5,85,4,1,21,1,1.00,5,8,-3,-0.61,-0.68,230,gr GRE,DF,17,2001,4.9,0,0,0,3,5,0,11,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
231,Moussa Koné,sn SEN,FW,Dresden,21,1996,29,26,2218,24.6,9,6,15,7,2,3,5,0,0.53,231,sn SEN,FW,21,1996,24.6,9,55,27,49.1,2.23,1.10,0.13,0.26,,2,3,231,sn SEN,FW,21,1996,24.6,,,,,,6,,,,,,231,sn SEN,FW,21,1996,24.6,,,,,,,9,,,,,,,,,231,sn SEN,FW,21,1996,24.6,,,,,,,,,,,231,sn SEN,FW,21,1996,24.6,,8,,,,,,,,,,3,,,,231,sn SEN,FW,21,1996,24.6,,,,,,,,,,,,,,,,,,,,,259,sn SEN,FW,21,1996,29,2218,76,72.5,24.6,26,83,15,3,23,1,1.21,30,33,-3,-0.12,+0.31,231,sn SEN,FW,21,1996,24.6,5,0,0,39,41,33,9,3,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
232,Jonatan Kotzke,de GER,DF,Ingolstadt 04,28,1990,12,11,998,11.1,1,1,2,1,0,0,3,0,0.18,232,de GER,DF,28,1990,11.1,1,6,1,16.7,0.54,0.09,0.17,1.00,,0,0,232,de GER,DF,28,1990,11.1,,,,,,1,,,,,,232,de GER,DF,28,1990,11.1,,,,,,,1,,,,,,,,,232,de GER,DF,28,1990,11.1,,,,,,,,,,,232,de GER,DF,28,1990,11.1,,7,,,,,,,,,,14,,,,232,de GER,DF,28,1990,11.1,,,,,,,,,,,,,,,,,,,,,260,de GER,DF,28,1990,12,998,83,32.6,11.1,11,90,11,1,7,2,1.33,17,17,0,0.00,+0.52,232,de GER,DF,28,1990,11.1,3,0,0,8,9,0,1,14,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
233,Vincent Koziello,fr FRA,MF,Köln,22,1995,14,6,563,6.3,0,0,0,0,0,0,2,0,0.00,233,fr FRA,MF,22,1995,6.3,0,6,0,0.0,0.96,0.00,0.00,,,0,0,233,fr FRA,MF,22,1995,6.3,,,,,,0,,,,,,233,fr FRA,MF,22,1995,6.3,,,,,,,4,,,,,,,,,233,fr FRA,MF,22,1995,6.3,,,,,,,,,,,233,fr FRA,MF,22,1995,6.3,,8,,,,,,,,,,7,,,,233,fr FRA,MF,22,1995,6.3,,,,,,,,,,,,,,,,,,,,,261,fr FRA,MF,22,1995,14,563,40,18.4,6.3,6,74,2,8,15,13,2.21,13,8,+5,+0.80,-0.35,233,fr FRA,MF,22,1995,6.3,2,0,0,10,6,0,4,7,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
234,Jan Král,cz CZE,DF,Erzgebirge Aue,19,1999,4,2,191,2.1,0,0,0,0,0,0,0,0,0.00,234,cz CZE,DF,19,1999,2.1,0,0,0,,0.00,0.00,,,,0,0,234,cz CZE,DF,19,1999,2.1,,,,,,0,,,,,,234,cz CZE,DF,19,1999,2.1,,,,,,,3,,,,,,,,,234,cz CZE,DF,19,1999,2.1,,,,,,,,,,,234,cz CZE,DF,19,1999,2.1,,5,,,,,,,,,,3,,,,234,cz CZE,DF,19,1999,2.1,,,,,,,,,,,,,,,,,,,,,263,cz CZE,DF,19,1999,4,191,48,6.2,2.1,2,71,1,2,25,6,1.25,4,4,0,0.00,+0.13,234,cz CZE,DF,19,1999,2.1,0,0,0,1,1,0,3,3,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
235,Robin Krauße,de GER,MF,Ingolstadt 04,24,1994,23,15,1511,16.8,0,0,0,0,0,0,6,1,0.00,235,de GER,MF,24,1994,16.8,0,13,1,7.7,0.77,0.06,0.00,0.00,,0,0,235,de GER,MF,24,1994,16.8,,,,,,0,,,,,,235,de GER,MF,24,1994,16.8,,,,,,,7,,,,,,,,,235,de GER,MF,24,1994,16.8,,,,,,,,,,,235,de GER,MF,24,1994,16.8,,31,,,,,,,,,,28,,,,235,de GER,MF,24,1994,16.8,,,,,,,,,,,,,,,,,,,,,264,de GER,MF,24,1994,23,1511,66,49.4,16.8,15,87,8,8,27,6,1.29,18,27,-9,-0.54,-0.36,235,de GER,MF,24,1994,16.8,6,1,1,34,25,0,7,28,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
236,Robin Krauße,de GER,MF,Paderborn 07,24,1994,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,236,de GER,MF,24,1994,0.8,0,1,0,0.0,1.25,0.00,0.00,,,0,0,236,de GER,MF,24,1994,0.8,,,,,,0,,,,,,236,de GER,MF,24,1994,0.8,,,,,,,0,,,,,,,,,236,de GER,MF,24,1994,0.8,,,,,,,,,,,236,de GER,MF,24,1994,0.8,,0,,,,,,,,,,2,,,,236,de GER,MF,24,1994,0.8,,,,,,,,,,,,,,,,,,,,,265,de GER,MF,24,1994,1,72,72,2.4,0.8,1,72,0,0,,0,0.00,0,1,-1,-1.25,-2.06,236,de GER,MF,24,1994,0.8,0,0,0,1,1,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
237,Niklas Kreuzer,de GER,MF,Dresden,25,1993,19,12,1087,12.1,0,4,4,0,0,0,5,0,0.33,237,de GER,MF,25,1993,12.1,0,12,4,33.3,0.99,0.33,0.00,0.00,,0,0,237,de GER,MF,25,1993,12.1,,,,,,4,,,,,,237,de GER,MF,25,1993,12.1,,,,,,,87,,,,,,,,,237,de GER,MF,25,1993,12.1,,,,,,,,,,,237,de GER,MF,25,1993,12.1,,21,,,,,,,,,,10,,,,237,de GER,MF,25,1993,12.1,,,,,,,,,,,,,,,,,,,,,266,de GER,MF,25,1993,19,1087,57,35.5,12.1,12,81,7,7,16,7,1.42,18,14,+4,+0.33,+0.83,237,de GER,MF,25,1993,12.1,5,0,0,17,28,5,87,10,21,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
238,Kenneth Kronholm,de GER,GK,Holstein Kiel,32,1985,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.00,238,de GER,GK,32,1985,27.0,0,0,0,,0.00,0.00,,,,0,0,238,de GER,GK,32,1985,27.0,,,,,,0,,,,,,238,de GER,GK,32,1985,27.0,,,,,,,0,,,,,,,,,238,de GER,GK,32,1985,27.0,,,,,,,,,,,238,de GER,GK,32,1985,27.0,,2,,,,,,,,,,1,,,,238,de GER,GK,32,1985,27.0,,,,,,,,,,,,,,,,,,,,,267,de GER,GK,32,1985,27,2430,90,79.4,27.0,27,90,27,0,,0,1.56,48,41,+7,+0.26,-0.03,238,de GER,GK,32,1985,27.0,0,0,0,0,9,0,0,1,2,0,0,0,19,de GER,GK,32,1985,27,27,2430,27.0,41,1.52,137,101,73.0,11,9,7,6,22.2,5,4,1,0,19,de GER,GK,32,1985,27.0,41,4,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
239,Felix Kroos,de GER,MF,Union Berlin,27,1991,25,18,1416,15.7,2,1,3,2,0,0,4,0,0.19,239,de GER,MF,27,1991,15.7,2,31,7,22.6,1.97,0.44,0.06,0.29,,0,0,239,de GER,MF,27,1991,15.7,,,,,,1,,,,,,239,de GER,MF,27,1991,15.7,,,,,,,12,,,,,,,,,239,de GER,MF,27,1991,15.7,,,,,,,,,,,239,de GER,MF,27,1991,15.7,,21,,,,,,,,,,7,,,,239,de GER,MF,27,1991,15.7,,,,,,,,,,,,,,,,,,,,,268,de GER,MF,27,1991,25,1416,57,46.3,15.7,18,74,4,7,12,7,1.68,23,15,+8,+0.51,-0.20,239,de GER,MF,27,1991,15.7,4,0,0,25,30,1,12,7,21,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
240,Florian Krüger,de GER,FW,Erzgebirge Aue,19,1999,16,9,770,8.6,2,4,6,2,0,0,0,0,0.70,240,de GER,FW,19,1999,8.6,2,12,3,25.0,1.40,0.35,0.17,0.67,,0,0,240,de GER,FW,19,1999,8.6,,,,,,4,,,,,,240,de GER,FW,19,1999,8.6,,,,,,,6,,,,,,,,,240,de GER,FW,19,1999,8.6,,,,,,,,,,,240,de GER,FW,19,1999,8.6,,0,,,,,,,,,,3,,,,240,de GER,FW,19,1999,8.6,,,,,,,,,,,,,,,,,,,,,269,de GER,FW,19,1999,16,770,48,25.2,8.6,9,70,2,7,20,1,0.88,13,13,0,0.00,+0.16,240,de GER,FW,19,1999,8.6,0,0,0,6,7,7,6,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
241,Robbie Kruse,au AUS,MF,Bochum,29,1988,14,12,1089,12.1,1,2,3,1,0,0,2,0,0.25,241,au AUS,MF,29,1988,12.1,1,23,11,47.8,1.90,0.91,0.04,0.09,,0,0,241,au AUS,MF,29,1988,12.1,,,,,,2,,,,,,241,au AUS,MF,29,1988,12.1,,,,,,,42,,,,,,,,,241,au AUS,MF,29,1988,12.1,,,,,,,,,,,241,au AUS,MF,29,1988,12.1,,13,,,,,,,,,,5,,,,241,au AUS,MF,29,1988,12.1,,,,,,,,,,,,,,,,,,,,,270,au AUS,MF,29,1988,14,1089,78,35.6,12.1,12,88,7,2,19,0,1.64,21,14,+7,+0.58,+0.94,241,au AUS,MF,29,1988,12.1,2,0,0,10,25,13,42,5,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
242,Max Kulke,de GER,MF,Dresden,17,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,242,de GER,MF,17,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,242,de GER,MF,17,2000,0.5,,,,,,0,,,,,,242,de GER,MF,17,2000,0.5,,,,,,,0,,,,,,,,,242,de GER,MF,17,2000,0.5,,,,,,,,,,,242,de GER,MF,17,2000,0.5,,1,,,,,,,,,,0,,,,242,de GER,MF,17,2000,0.5,,,,,,,,,,,,,,,,,,,,,271,de GER,MF,17,2000,1,45,45,1.5,0.5,1,45,0,0,,0,0.00,0,1,-1,-2.00,-1.82,242,de GER,MF,17,2000,0.5,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
243,Stefan Kulovits,at AUT,MF,Sandhausen,35,1983,6,6,476,5.3,0,0,0,0,0,0,0,0,0.00,243,at AUT,MF,35,1983,5.3,0,0,0,,0.00,0.00,,,,0,0,243,at AUT,MF,35,1983,5.3,,,,,,0,,,,,,243,at AUT,MF,35,1983,5.3,,,,,,,0,,,,,,,,,243,at AUT,MF,35,1983,5.3,,,,,,,,,,,243,at AUT,MF,35,1983,5.3,,4,,,,,,,,,,10,,,,243,at AUT,MF,35,1983,5.3,,,,,,,,,,,,,,,,,,,,,272,at AUT,MF,35,1983,6,476,79,15.6,5.3,6,79,3,0,,7,0.67,4,7,-3,-0.57,-0.43,243,at AUT,MF,35,1983,5.3,0,0,0,11,6,0,0,10,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
244,Filip Kusić,rs SRB,DF,Erzgebirge Aue,22,1996,14,13,1177,13.1,0,0,0,0,0,0,3,1,0.00,244,rs SRB,DF,22,1996,13.1,0,3,1,33.3,0.23,0.08,0.00,0.00,,0,0,244,rs SRB,DF,22,1996,13.1,,,,,,0,,,,,,244,rs SRB,DF,22,1996,13.1,,,,,,,7,,,,,,,,,244,rs SRB,DF,22,1996,13.1,,,,,,,,,,,244,rs SRB,DF,22,1996,13.1,,13,,,,,,,,,,22,,,,244,rs SRB,DF,22,1996,13.1,,,,,,,,,,,,,,,,,,,,,273,rs SRB,DF,22,1996,14,1177,84,38.5,13.1,13,88,11,1,39,6,1.00,12,19,-7,-0.54,-0.68,244,rs SRB,DF,22,1996,13.1,3,1,0,11,16,0,7,22,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
245,Stefan Kutschke,de GER,"FW,MF",Ingolstadt 04,29,1988,31,14,1412,15.7,3,1,4,2,1,1,4,0,0.19,245,de GER,"FW,MF",29,1988,15.7,3,30,14,46.7,1.91,0.89,0.07,0.14,,1,1,245,de GER,"FW,MF",29,1988,15.7,,,,,,1,,,,,,245,de GER,"FW,MF",29,1988,15.7,,,,,,,7,,,,,,,,,245,de GER,"FW,MF",29,1988,15.7,,,,,,,,,,,245,de GER,"FW,MF",29,1988,15.7,,11,,,,,,,,,,3,,,,245,de GER,"FW,MF",29,1988,15.7,,,,,,,,,,,,,,,,,,,,,274,de GER,"FW,MF",29,1988,31,1412,46,46.1,15.7,14,81,6,17,16,3,1.03,26,28,-2,-0.13,+0.42,245,de GER,"FW,MF",29,1988,15.7,4,0,0,34,18,8,7,3,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
246,Mario Kvesić,ba BIH,MF,Erzgebirge Aue,26,1992,12,3,363,4.0,1,0,1,1,0,0,2,0,0.25,246,ba BIH,MF,26,1992,4.0,1,16,6,37.5,3.97,1.49,0.06,0.17,,0,0,246,ba BIH,MF,26,1992,4.0,,,,,,0,,,,,,246,ba BIH,MF,26,1992,4.0,,,,,,,20,,,,,,,,,246,ba BIH,MF,26,1992,4.0,,,,,,,,,,,246,ba BIH,MF,26,1992,4.0,,1,,,,,,,,,,2,,,,246,ba BIH,MF,26,1992,4.0,,,,,,,,,,,,,,,,,,,,,275,ba BIH,MF,26,1992,12,363,30,11.9,4.0,3,68,0,9,18,6,1.25,4,2,+2,+0.50,+0.70,246,ba BIH,MF,26,1992,4.0,2,0,0,8,11,0,20,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
247,Léo Lacroix,ch SUI,DF,Hamburger SV,26,1992,16,11,1040,11.6,1,1,2,1,0,0,3,0,0.17,247,ch SUI,DF,26,1992,11.6,1,13,3,23.1,1.13,0.26,0.08,0.33,,0,0,247,ch SUI,DF,26,1992,11.6,,,,,,1,,,,,,247,ch SUI,DF,26,1992,11.6,,,,,,,0,,,,,,,,,247,ch SUI,DF,26,1992,11.6,,,,,,,,,,,247,ch SUI,DF,26,1992,11.6,,13,,,,,,,,,,23,,,,247,ch SUI,DF,26,1992,11.6,,,,,,,,,,,,,,,,,,,,,276,ch SUI,DF,26,1992,16,1040,65,34.0,11.6,11,90,11,5,9,15,1.56,15,23,-8,-0.69,-1.18,247,ch SUI,DF,26,1992,11.6,3,0,0,18,2,3,0,23,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
