Season,Squad,Min_squad,90s_squad,Age_squad_mean,NumPlayers_squad,OffScore_squad,MidScore_squad,DefScore_squad,IntensityScore_squad,OverallScore_squad,Comp
2015-2016,Dortmund,33452.0,371.79999999999995,26.062061687822233,24,691.3402737120214,676.8224510039742,558.1641115782362,518.3215947110835,642.1089454314106,de Bundesliga
2015-2016,Eibar,37596.0,417.59999999999997,25.982897116714547,28,441.293900816818,318.4003873290127,562.6846415684682,497.08282748501483,440.792976571433,es La Liga
2015-2016,Eint Frankfurt,34020.0,377.8999999999999,27.040643738977067,30,349.6803756774638,430.69415336976203,518.1476541000113,511.69047964676747,432.84072771574574,de Bundesliga
2015-2016,Empoli,37720.0,419.09999999999997,25.829453870625663,29,500.0682557909754,446.1747833281366,551.0163904103995,470.9664551209616,499.08647650983715,it Serie A
2015-2016,Espanyol,37561.0,417.19999999999993,25.26997950001331,26,459.73841920509494,415.0430309498945,532.0455125779955,481.44016845091693,468.942320910995,es La Liga
2015-2016,Everton,37035.0,411.59999999999997,26.93142149390244,30,587.1170793231174,528.4462058581528,546.2281438119375,466.77974166660385,553.9304763310693,eng Premier League
2015-2016,FC Ingolstadt 04,33583.0,373.0,26.769329720394243,25,291.7631351537638,438.38774864613004,599.6567980042665,556.4974837373977,443.2692272680535,de Bundesliga
2015-2016,Fiorentina,38210.0,424.50000000000006,28.177681235278722,24,475.5813780756274,504.96878650937333,545.2276911586661,487.9390563248566,508.59261858122227,it Serie A
2015-2016,Frosinone,35784.0,397.6,26.851942208808406,27,322.4465788812224,404.4682483286203,510.7437090156994,455.7513298823824,412.55284540851403,it Serie A
2015-2016,GFC Ajaccio,37468.0,416.49999999999994,28.78583324436853,23,363.23396919330935,424.9285486686813,540.4595838759615,491.0443887286138,442.8740339126507,fr Ligue 1
2015-2016,Genoa,37143.0,412.9,26.94169830116038,26,436.726900592218,518.1642440893926,548.1376545881827,494.66804689895633,501.0095997565977,it Serie A
2015-2016,Getafe,37510.0,416.70000000000005,27.13523546597336,27,363.580720360376,472.90030498282283,519.6387862931898,443.0157225868201,452.0399372121295,es La Liga
2015-2016,Gladbach,33489.0,372.1,25.369160022694018,25,611.67235859346,571.7419794651471,522.4814092423117,537.7357118907714,568.6319157669728,de Bundesliga
2015-2016,Granada,37074.0,411.7,26.202370933808062,28,348.56400579279426,460.5231112214706,525.7063979809152,476.27073815154574,444.93117166506,es La Liga
2015-2016,Guingamp,38287.0,425.70000000000005,28.79892130488155,28,484.96869911287257,498.53495079003875,523.6709400206548,473.0219147279301,502.39152997452203,fr Ligue 1
2015-2016,Hamburger SV,34078.0,378.8,27.446912964375848,28,392.55159212490565,425.41971222903106,562.8871092824552,540.6781809209479,460.2861378787973,de Bundesliga
2015-2016,Hannover 96,33770.0,375.3,26.033665975718094,33,324.4296463457273,460.6746957424039,562.8634616624017,524.0900831331364,449.3226012501777,de Bundesliga
2015-2016,Hellas Verona,35958.0,399.69999999999993,27.853648701262586,30,202.56296482285666,485.4220289784042,517.0206625517916,449.004659640113,401.66855211768416,it Serie A
2015-2016,Hertha BSC,33079.0,367.5,26.617515644366517,24,469.61298416114073,400.3790836787797,545.5454899334261,503.27734003513615,471.84585259111554,de Bundesliga
2015-2016,Hoffenheim,33489.0,372.20000000000005,24.53330645883723,25,421.12906293849414,399.03388293857654,554.8954943628338,489.70554056978455,458.3528134133015,de Bundesliga
2015-2016,Inter,38759.0,430.59999999999997,27.15246265383524,26,501.44401557142487,548.6114294155055,541.5874369819702,476.90605579569456,530.547627322967,it Serie A
2015-2016,Juventus,37602.0,417.6000000000001,28.686625711398335,29,661.2501699062192,567.5745744119731,512.517795917257,471.91654682002394,580.4475134118164,it Serie A
2015-2016,Köln,33635.0,373.6,25.519815668202764,23,353.74866267823563,550.7333790484239,542.3629977703714,518.7987568647816,482.2816798323436,de Bundesliga
2015-2016,La Coruña,37549.0,417.2,28.660438360542226,25,491.55150863583754,455.37012732429406,548.3765108083991,474.0144735322398,498.4327155895103,es La Liga
2015-2016,Las Palmas,37462.0,416.19999999999993,27.963878063103945,27,453.7700524905784,350.9406555110595,550.9395600979348,500.6291244307457,451.8834226998576,es La Liga
2015-2016,Lazio,37539.0,417.2,28.037640853512347,27,464.069158420985,453.7157682217581,525.4122870529349,482.4566241215715,481.0657378985593,it Serie A
2015-2016,Leicester City,37564.0,417.6,28.12225535086785,23,545.9307131276045,520.3423535893048,562.0138999796287,515.8509670976836,542.7623222321794,eng Premier League
2015-2016,Levante,38021.0,422.2,27.578593408905608,27,366.376175067478,384.1486145047849,541.6015052596972,469.7837991778448,430.70876494398675,es La Liga
2015-2016,Leverkusen,32736.0,363.9,24.472247678396872,26,566.9433470041307,449.56820758778423,569.0952735824488,539.3465189660702,528.5356093914546,de Bundesliga
2015-2016,Lille,37722.0,419.3,27.48755103122846,31,397.48892613449135,429.3389523898371,564.623703243838,518.4370195749651,463.8171939227222,fr Ligue 1
2015-2016,Liverpool,37505.0,416.9,25.668004266097853,33,699.5839619564381,583.6026523353789,539.123530136247,503.45232391932274,607.4367148093547,eng Premier League
2015-2016,Lorient,38311.0,426.1,25.636399467515858,32,410.6039247198008,470.858087596637,547.858775296672,479.90200687319,476.4402625377032,fr Ligue 1
2015-2016,Lyon,37429.0,415.99999999999994,25.90465147345641,29,652.1221838128118,520.0630076864852,575.3536608690409,525.6540122112925,582.5129507894461,fr Ligue 1
2015-2016,Mainz 05,34479.0,382.80000000000007,25.381046434061314,27,487.8919822443369,464.29112150144977,578.9169651757951,523.9865495404839,510.3666896405272,de Bundesliga
2015-2016,Manchester City,37604.0,417.8,28.69468407616211,25,621.9836170881814,498.11545273679087,539.7598761897807,504.2762820839609,553.286315338251,eng Premier League
2015-2016,Manchester Utd,37556.0,417.29999999999995,25.993021088507827,33,452.42903374373356,370.9116705676799,553.6892871674552,487.936996335604,459.00999715962286,eng Premier League
2015-2016,Marseille,37411.0,415.5999999999999,25.428414102803984,28,495.1550039988063,349.22268554846084,639.5044680331916,526.3457379432546,494.62738586015297,fr Ligue 1
2015-2016,Milan,36760.0,408.29999999999995,26.84370511425462,28,522.2258392456745,502.375264495958,561.569022270075,489.9429804237567,528.7233753372358,it Serie A
2015-2016,Monaco,37117.0,412.40000000000003,26.555739957431904,29,415.3425338262502,485.2767223720892,542.4923379914887,502.05948080792683,481.03719806327604,fr Ligue 1
2015-2016,Montpellier,37549.0,417.3,27.468361341180852,30,517.0853986451292,408.65217600622134,574.1683718406728,516.0112763381343,499.96864883067445,fr Ligue 1
2015-2016,Málaga,37703.0,419.09999999999997,28.47382436410896,30,370.9494154443755,478.6526967693813,548.8284591689832,485.18848465457404,466.1435237942466,es La Liga
2015-2016,Nantes,37700.0,418.90000000000003,26.242885941644563,29,368.76485326446226,448.0077794188652,552.0740859004766,504.33156248973734,456.2822395279347,fr Ligue 1
2015-2016,Napoli,39778.0,442.2,26.709130675247618,23,612.7784792349984,581.0805735298262,509.23074165322845,476.2233424550555,567.6965981393511,it Serie A
2015-2016,Newcastle Utd,38712.0,430.3,25.735053730109524,31,406.46701241898324,507.1287661091301,537.2849632257559,464.022911027256,483.6269139179564,eng Premier League
2015-2016,Nice,37360.0,415.00000000000006,24.666777301927194,31,567.3882422249917,436.7523330430184,574.2189722528104,509.43566533497557,526.1198491736068,fr Ligue 1
2015-2016,Norwich City,37893.0,420.8,28.104692159501745,27,457.10664774987566,417.84847055334984,504.4519611415218,436.6703705619605,459.80235981491575,eng Premier League
2015-2016,Palermo,36580.0,406.5,27.18972389283762,28,395.8962646669457,401.7900254828129,530.2158130115481,460.42119220184,442.63403438710225,it Serie A
2015-2016,Paris S-G,37786.0,419.7,27.342100248769384,28,734.490171082984,528.647799885925,535.6534790760222,515.7445745611885,599.597150014977,fr Ligue 1
2015-2016,Rayo Vallecano,37653.0,418.4,28.977980506201362,29,447.2371760980607,504.8094491717538,547.7012059063672,486.396387428575,499.9159437253939,es La Liga
2015-2016,Real Madrid,37543.0,417.2,26.899091708174623,23,826.6776347998772,589.3641783633913,543.1401643893414,479.6194771249727,653.0606591842032,es La Liga
2015-2016,Real Sociedad,37380.0,415.2,25.730417335473515,26,402.6236273044477,524.9137134163491,573.1660365259037,511.49814198176136,500.2344590822335,es La Liga
2015-2016,Reims,37555.0,417.09999999999997,27.291479163892955,31,451.0731696377993,398.36677664542185,545.9667535294506,504.38390883018616,465.1355666042239,fr Ligue 1
2015-2016,Rennes,37513.0,416.79999999999995,26.601844693839467,30,518.6236646113806,354.5551785180054,534.1565582410401,505.2880827767044,469.1118004568087,fr Ligue 1
2015-2016,Roma,39986.0,444.20000000000005,26.759630870804784,31,543.100748963442,533.5897621940356,518.5957070985612,466.36800609716914,531.762072752013,it Serie A
2015-2016,Saint-Étienne,37243.0,413.79999999999995,27.706347501543913,30,388.1366762983141,397.62138986777995,554.9900939358455,480.38563226968574,446.91605336731317,fr Ligue 1
2015-2016,Sampdoria,37893.0,420.80000000000007,27.757931544084656,31,423.2623270363467,436.24711917039974,509.1797372817369,445.34397206841857,456.2297278294944,it Serie A
2015-2016,Sassuolo,36119.0,401.4000000000001,27.216730806500735,23,401.1306887459138,439.92407146151976,568.7344610214968,495.9829880915524,469.92974040964344,it Serie A
2015-2016,Schalke 04,33403.0,371.2,25.360159267131696,25,458.5713241687474,541.6244831263238,563.0579606583993,522.3828246267308,521.0845893178235,de Bundesliga
2015-2016,Sevilla,37437.0,416.00000000000006,27.28239175147581,33,483.3817205360532,447.25461656454206,515.6620284062574,465.55042090963514,482.0994551689509,es La Liga
2015-2016,Southampton,37397.0,415.3,26.84855469690082,25,638.3378777735169,458.6349980846983,562.3592005736992,491.2875138853723,553.1106921439714,eng Premier League
2015-2016,Sporting Gijón,37500.0,416.59999999999997,24.898165333333335,28,391.705915556917,419.89055169046753,511.3728885041488,457.33692773548177,440.98978525051115,es La Liga
2015-2016,Stoke City,37446.0,416.20000000000005,27.84841905677509,27,451.8908443331277,352.7491504176268,568.2697512457255,471.01549806150894,457.63658199882667,eng Premier League
2015-2016,Stuttgart,33459.0,371.7,26.383780148838873,30,417.47721441718295,569.9513764950096,563.6459129909476,524.0550780801881,517.0248346343801,de Bundesliga
2015-2016,Sunderland,36044.0,400.59999999999997,27.6721063145045,30,390.8483890497078,377.5126744503834,558.9565893155026,470.2921074724419,442.4392176051979,eng Premier League
2015-2016,Swansea City,36328.0,403.59999999999997,28.18908004844748,25,332.97581702097887,425.85755723900684,549.8956053297962,471.94791728565525,436.24299319659394,eng Premier League
2015-2016,Torino,36235.0,402.5,27.802544501172896,26,400.7598384823486,443.07657291828906,530.4853479751988,432.0726404057526,458.10725312527876,it Serie A
2015-2016,Tottenham,37551.0,417.2,24.876471998082604,22,584.8410585643194,559.2854888192237,553.3394516634269,492.02969606535515,565.8219996823233,eng Premier League
2015-2016,Toulouse,37603.0,417.90000000000003,24.25224051272505,26,487.64023288929576,409.1330812474905,565.5632047025066,510.7467757670963,487.44550627976423,fr Ligue 1
2015-2016,Troyes,33653.0,373.79999999999995,27.212215849998515,29,307.94665697358295,397.7366097754633,569.1850819173741,473.0866554380795,424.9561162221401,fr Ligue 1
2015-2016,Udinese,39587.0,439.70000000000005,27.952474297117742,27,397.17981566616544,384.04268609465817,577.5287879208635,488.1575668527264,452.91709656056236,it Serie A
2015-2016,Valencia,37081.0,411.90000000000003,25.076918098217412,29,460.04334449375386,429.73181001336275,576.0088498909904,497.5946056728704,488.59466813270234,es La Liga
2015-2016,Villarreal,37495.0,416.69999999999993,25.7177401673752,26,433.05383950593466,418.70571707993054,516.7207572497279,467.5507550518606,456.16010461186437,es La Liga
2015-2016,Watford,39096.0,434.6000000000001,28.670068549212196,26,432.5557015848652,372.2018312545307,565.1725187255244,478.34458870433446,456.64335052164006,eng Premier League
2015-2016,Werder Bremen,33665.0,373.99999999999994,26.978063270458932,30,471.61027229943556,497.9498185690642,617.9158337617498,566.9515276036157,529.1586415434166,de Bundesliga
2015-2016,West Brom,37387.0,415.3,29.454315671222613,27,347.81769932091186,393.6762418615053,565.0849756604433,472.63456311149133,435.52630561428685,eng Premier League
2015-2016,West Ham,37493.0,416.5,26.98915797615555,27,548.7260430680328,454.51921131764703,548.4682415175887,490.77405232292864,517.2378319677562,eng Premier League
2015-2016,Wolfsburg,33786.0,375.4,27.395495175516483,28,547.3483809050268,468.3565993795451,563.2171520346775,516.3356264665933,526.3073774397499,de Bundesliga
2016-2017,Alavés,37555.0,417.5,25.648864502777474,25,362.23596807238056,334.0874008531679,518.0799777378319,454.43072077909613,404.8011155544602,es La Liga
2016-2017,Angers,38195.0,424.3,27.154391936117293,29,372.56040373164626,483.4641050947342,509.79533275186265,477.37054898506295,455.273280526081,fr Ligue 1
2016-2017,Arsenal,37372.0,415.2,27.30479235791502,27,635.0797288355006,533.6528686622552,533.8379742131235,505.13471617856453,567.5235239036264,eng Premier League
2016-2017,Atalanta,37096.0,411.90000000000003,25.641850873409535,28,621.3413262041125,510.6900822368019,543.0170728915624,473.44518976151375,558.3494937774923,it Serie A
2016-2017,Athletic Club,37206.0,413.40000000000003,27.18737300435414,23,408.3800043275613,518.9939141724122,514.910554345262,503.87544207521324,480.76149094841185,es La Liga
2016-2017,Atlético Madrid,37575.0,417.70000000000005,27.308039920159676,22,651.3766972365596,592.378310912338,555.9859217192411,501.186810400691,599.9136432893796,es La Liga
2016-2017,Augsburg,33635.0,373.70000000000005,27.51786826347305,28,333.58702591129537,454.5085700226344,530.6969553954852,489.10850064696746,439.597517109805,de Bundesliga
2016-2017,Barcelona,37662.0,418.4,27.30794965747969,24,789.4336114554969,521.41401056779,505.4623001879554,471.3846308705369,605.4366407370808,es La Liga
2016-2017,Bastia,35562.0,395.1,27.269208705922047,28,375.6644026732401,298.7569572491581,488.409811900673,455.15706184663424,387.61039060769036,fr Ligue 1
2016-2017,Bayern Munich,33632.0,373.7999999999999,28.378026879162707,21,708.1053670969216,612.291185054433,506.8518709965845,509.39652477847636,609.0828077159797,de Bundesliga
2016-2017,Betis,37669.0,418.49999999999994,26.45762032440468,27,356.88719162292233,405.6682169190365,495.92897642782225,458.6030401137052,419.494794989927,es La Liga
2016-2017,Bologna,37044.0,411.6,26.661302775078287,27,444.7538416309193,441.2484175234367,546.307424795671,447.4067470416444,477.4365613166756,it Serie A
2016-2017,Bordeaux,37530.0,417.0999999999999,26.34002398081535,25,449.4003269975325,484.6807896105497,546.3971709773418,482.05272998532405,493.49276252847466,fr Ligue 1
2016-2017,Bournemouth,36847.0,409.3,27.545317122153772,26,462.26053051757714,427.94475511456386,539.6499616378343,453.5661921984191,476.6184157566584,eng Premier League
2016-2017,Burnley,37501.0,416.7,28.15563051651956,26,377.2667092502857,347.63716607071365,595.6591098363699,451.5729155978386,440.18766171912307,eng Premier League
2016-2017,Caen,37799.0,420.1,29.093092409852115,27,406.30100916279713,326.31458582351337,577.5504580183314,517.4059159881757,436.722017668214,fr Ligue 1
2016-2017,Cagliari,36324.0,403.4,28.65569906094236,33,491.87985310773547,427.4167832879317,523.2405176633729,451.4034384431112,480.84571801967996,it Serie A
2016-2017,Celta Vigo,36950.0,410.7,26.498511502029768,26,416.1000501486319,406.99677628320103,551.2109439207161,480.21505177811304,458.1025901175164,es La Liga
2016-2017,Chelsea,38368.0,426.30000000000007,27.53911071726439,24,676.6561678221758,460.9737883689263,533.4704414106359,497.43174408917076,557.033465867246,eng Premier League
2016-2017,Chievo,37935.0,421.29999999999995,31.735795439567674,29,454.3211752860849,438.36169412168476,527.3056307838858,456.6212039942815,473.3295000638852,it Serie A
2016-2017,Crotone,36156.0,401.4,26.099623852196043,30,357.72773645893676,354.09711393407736,528.4033051175808,448.49631247034597,413.4093851701983,it Serie A
2016-2017,Crystal Palace,39513.0,439.30000000000007,28.055257763267782,30,414.7277586279272,433.6164613853122,524.3507317085846,477.53033909546775,457.56498390727467,eng Premier League
2016-2017,Darmstadt 98,33530.0,372.5,28.01740829108261,32,241.02306180663027,463.68485190366687,536.7612367412908,482.07608668671213,413.8230501505293,de Bundesliga
2016-2017,Dijon,37490.0,416.6,28.087570018671645,27,387.51387821193595,421.0883938057106,560.0444797741909,487.22267906669066,456.21558393061247,fr Ligue 1
2016-2017,Dortmund,33605.0,373.4,25.68193423597679,27,595.5969862623397,624.7749667677522,539.5380247324016,497.76160673828895,586.6366592541644,de Bundesliga
2016-2017,Eibar,37355.0,415.20000000000005,27.28081381341186,24,430.38806288371666,401.30897467780875,575.9336655635709,488.29398055590656,469.2102343750321,es La Liga
2016-2017,Eint Frankfurt,33461.0,371.7,26.355903888108546,26,388.8056455990151,393.8488460951371,534.6293847495858,512.6501513469135,439.09462548124606,de Bundesliga
2016-2017,Empoli,35516.0,394.6,27.170861020385175,27,351.4652318865377,345.75179694587007,522.2179502687637,459.2099292037767,406.47832636705715,it Serie A
2016-2017,Espanyol,37334.0,414.70000000000005,27.634009214121175,25,392.4743901026703,365.6289189358165,581.7851863449737,487.16339140698847,446.62949846115345,es La Liga
2016-2017,Everton,36987.0,410.8,27.927723254116312,25,555.7166684941934,501.31105244334896,521.4555054211161,478.43160581934023,526.1610754528862,eng Premier League
2016-2017,FC Ingolstadt 04,33637.0,373.90000000000003,27.26519309094152,22,304.49603631315745,400.1507207547266,565.2273345645542,551.9103756676722,423.2913638774794,de Bundesliga
2016-2017,Fiorentina,40238.0,447.30000000000007,27.5817585367066,30,486.044972311541,505.1275655716726,501.1766144965252,437.8147504950655,497.44971745991296,it Serie A
2016-2017,Freiburg,33654.0,374.00000000000006,25.108085220181852,25,496.96991804866036,390.8193204999122,516.6726432214788,497.51719780393796,468.15396059001705,de Bundesliga
2016-2017,Genoa,37941.0,421.49999999999994,27.348072006536466,29,357.81967761188963,403.90522144148696,520.6451341568762,420.3627904403944,427.4566777367509,it Serie A
2016-2017,Gladbach,33604.0,373.4,25.703032377097962,25,415.80007082814967,536.759966531918,551.7018777243484,531.5185459648021,501.4206383614721,de Bundesliga
2016-2017,Granada,36269.0,402.9,24.866847721194407,33,298.2268214111482,363.43172633901105,512.218450386479,445.11961963897573,391.2923327122127,es La Liga
2016-2017,Guingamp,38054.0,422.69999999999993,28.082706154412154,25,423.5818097669216,412.9217458638932,526.6541845554922,470.51823658686175,454.38591339543564,fr Ligue 1
2016-2017,Hamburger SV,34894.0,387.5,26.38590302057661,29,429.59642752938277,495.6978923237106,567.2290734932299,540.0731919871516,497.50779778210773,de Bundesliga
2016-2017,Hertha BSC,33611.0,373.5,27.684207800121875,26,392.5662570849958,414.4052912594608,544.0646269863107,499.57679094534177,450.34539177692244,de Bundesliga
2016-2017,Hoffenheim,33630.0,373.70000000000005,25.383366042224203,23,501.82230122581575,594.7904705820489,536.1705800916542,483.8846779752135,544.2611172998396,de Bundesliga
2016-2017,Hull City,34041.0,378.1000000000001,27.761769630739405,26,300.87460729200853,304.3070870038871,534.5904459173065,453.9991116198699,379.924046737734,eng Premier League
2016-2017,Inter,38117.0,423.3,27.86195398378676,27,635.5149867972524,539.822552791298,565.0675101177984,491.94337710427993,580.135016568783,it Serie A
2016-2017,Juventus,39058.0,433.90000000000003,29.530959086486764,27,554.9255088332451,564.776428339934,532.4617397757245,462.5519223100517,550.7212256496344,it Serie A
2016-2017,Köln,32406.0,360.2,26.475652656915386,25,485.8179912544858,483.9227275590942,578.6723993689853,512.3079516116142,516.1377060608551,de Bundesliga
2016-2017,La Coruña,37521.0,416.79999999999995,28.150888835585405,28,402.06331762375623,374.18937057997726,539.407380472015,468.9474942896456,438.55335622524944,es La Liga
2016-2017,Las Palmas,36778.0,408.8,27.59355049214204,28,468.8756764992381,334.05892680145365,516.996564935354,461.3935910413773,439.9770560786819,es La Liga
2016-2017,Lazio,36935.0,410.2,26.547112832457618,28,549.8434227478707,550.4197241873129,511.71081325527143,480.68428232851187,537.3246533968183,it Serie A
2016-2017,Leganés,39819.0,442.4,26.99352319244582,31,340.93877144805276,363.4484303260045,549.0484908088923,478.12984943801007,417.81189752764993,es La Liga
2016-2017,Leicester City,37419.0,415.6,28.231908923274272,24,402.1330793215209,336.57951459278445,511.70351787086906,474.9994102931394,416.80537059505815,eng Premier League
2016-2017,Leverkusen,33501.0,372.4,24.601593982269183,24,527.5032157428284,456.28030533405126,551.4692710746589,510.75291250955956,511.7509307171795,de Bundesliga
2016-2017,Lille,34854.0,387.20000000000005,27.18996728462377,28,398.119580457141,336.28682711844766,548.8605031778351,497.58154241111106,427.755636917808,fr Ligue 1
2016-2017,Liverpool,37620.0,417.9,26.473825093035618,23,680.5881339408901,563.7954101415706,501.6692962332098,494.76236693513897,582.0176134385569,eng Premier League
2016-2017,Lorient,38902.0,432.29999999999995,27.16331551077065,29,442.4191066347712,444.0662364271624,487.41101767484264,432.6915874371335,457.9654535789254,fr Ligue 1
2016-2017,Lyon,36931.0,410.2,25.39448972408004,26,681.9802518969923,481.6843490724951,537.3074097588957,494.2342609154118,566.9906702427943,fr Ligue 1
2016-2017,Mainz 05,31994.0,355.50000000000006,25.56955679189848,26,337.0815782390418,402.9731967850002,570.4559256782283,528.2870695720483,436.8369002340901,de Bundesliga
2016-2017,Manchester City,37556.0,417.0,28.88439929704974,25,644.1241506919305,457.2610642561795,571.286806137621,501.6247460126573,557.5573403619104,eng Premier League
2016-2017,Manchester Utd,37581.0,417.7,27.09286341502355,30,553.1749125516112,516.1607633821425,547.9331789487068,489.5560205474277,539.0896182941534,eng Premier League
2016-2017,Marseille,40714.0,452.5999999999999,27.524758068477674,27,597.1983681469543,587.0569170592039,534.7287690909681,472.91620771958856,572.9946847657087,fr Ligue 1
2016-2017,Metz,37946.0,421.5,26.90510989300585,31,313.50081568425753,403.25052103826465,521.648223823127,463.32869200999824,412.7998535152164,fr Ligue 1
2016-2017,Middlesbrough,38396.0,426.7,27.755852172101264,27,301.69348104933914,325.44028373137536,524.2001682727195,484.1266133045871,383.777977684478,eng Premier League
2016-2017,Milan,39564.0,439.7,25.85378121524618,29,488.6378137599537,466.7674054493675,507.0671922504156,458.0403758900857,487.4908038199123,it Serie A
2016-2017,Monaco,37465.0,416.19999999999993,25.409910583210998,28,632.3096309904893,574.1612437316754,520.5264816344429,465.3267646090214,575.6657854522026,fr Ligue 1
2016-2017,Montpellier,34591.0,384.4,27.42065566187737,28,498.3672720168196,378.58330671238195,554.0207083572088,495.86653702413344,476.9904290288035,fr Ligue 1
2016-2017,Málaga,37652.0,418.4,26.467544884733876,29,426.7712145736567,488.8803253886056,543.7053265056355,483.4421408879215,486.4522888226326,es La Liga
2016-2017,Nancy,37511.0,416.7,27.410903144239224,27,255.65400158638394,327.0324241001028,524.2311519556702,468.53275077084874,368.97252588071893,fr Ligue 1
2016-2017,Nantes,37565.0,417.2,25.242635431918004,27,416.6642697464185,394.6914371375651,498.9207381668775,471.911421307688,436.75881501695375,fr Ligue 1
2016-2017,Napoli,38006.0,422.40000000000003,27.37512234910277,24,682.1059842668848,627.0820002564708,485.06495620128277,449.76604107617595,598.0843135748795,it Serie A
2016-2017,Nice,37360.0,415.1,24.686953961456105,26,517.898749051512,459.1562545409443,515.4011234459734,457.76005057582506,497.4853756794766,fr Ligue 1
2016-2017,Osasuna,37721.0,419.09999999999997,26.72180433167003,35,327.97583549586614,358.8080327721791,528.7444436188038,463.77840385019186,405.176103962283,es La Liga
2016-2017,Palermo,36517.0,405.59999999999997,26.5614782156256,29,369.387785181864,355.6590529749196,510.7240197095886,459.2995868578106,411.9236192887907,it Serie A
2016-2017,Paris S-G,37441.0,416.0,26.824120616436527,27,609.6531091285557,564.7603148138348,491.99460827529276,481.54917041909926,555.4693440725611,fr Ligue 1
2016-2017,Pescara,36938.0,410.4,27.375479410715755,32,381.1476903541031,400.90701480016713,494.46668223256046,425.45625676736654,425.5071291289435,it Serie A
2016-2017,RB Leipzig,33571.0,373.0,24.619758815544408,22,620.563617824172,477.34878238229214,599.7531494377484,547.895311065679,565.8885165480709,de Bundesliga
2016-2017,Real Madrid,37564.0,417.6,27.389918539026723,24,725.463027935048,563.1680616672104,530.4438813205578,485.12349317336526,606.3583236409387,es La Liga
2016-2017,Real Sociedad,37062.0,411.8,26.461324267443743,25,417.73592752595664,488.67293973417463,534.260427686078,472.9297968314647,480.2230983154031,es La Liga
